<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,19/09/18,10:01,110590.0,111090.0,110590.0,111070.0,1196
SPFB.RTS-12.18,1,19/09/18,10:02,111070.0,111260.0,111040.0,111250.0,1022
SPFB.RTS-12.18,1,19/09/18,10:03,111280.0,111310.0,110940.0,111100.0,882
SPFB.RTS-12.18,1,19/09/18,10:04,111120.0,111200.0,111060.0,111200.0,289
SPFB.RTS-12.18,1,19/09/18,10:05,111190.0,111200.0,111130.0,111190.0,446
SPFB.RTS-12.18,1,19/09/18,10:06,111180.0,111250.0,111150.0,111200.0,467
SPFB.RTS-12.18,1,19/09/18,10:07,111190.0,111270.0,111190.0,111250.0,151
SPFB.RTS-12.18,1,19/09/18,10:08,111250.0,111400.0,111250.0,111370.0,817
SPFB.RTS-12.18,1,19/09/18,10:09,111370.0,111470.0,111340.0,111430.0,671
SPFB.RTS-12.18,1,19/09/18,10:10,111450.0,111500.0,111440.0,111480.0,491
SPFB.RTS-12.18,1,19/09/18,10:11,111470.0,111490.0,111380.0,111380.0,1165
SPFB.RTS-12.18,1,19/09/18,10:12,111380.0,111410.0,111340.0,111410.0,602
SPFB.RTS-12.18,1,19/09/18,10:13,111410.0,111410.0,111270.0,111310.0,487
SPFB.RTS-12.18,1,19/09/18,10:14,111320.0,111320.0,111260.0,111310.0,190
SPFB.RTS-12.18,1,19/09/18,10:15,111300.0,111410.0,111290.0,111400.0,207
SPFB.RTS-12.18,1,19/09/18,10:16,111410.0,111420.0,111300.0,111320.0,210
SPFB.RTS-12.18,1,19/09/18,10:17,111320.0,111330.0,111230.0,111300.0,523
SPFB.RTS-12.18,1,19/09/18,10:18,111300.0,111310.0,111210.0,111210.0,172
SPFB.RTS-12.18,1,19/09/18,10:19,111200.0,111230.0,111160.0,111230.0,301
SPFB.RTS-12.18,1,19/09/18,10:20,111210.0,111220.0,111180.0,111190.0,192
SPFB.RTS-12.18,1,19/09/18,10:21,111200.0,111310.0,111180.0,111310.0,386
SPFB.RTS-12.18,1,19/09/18,10:22,111290.0,111310.0,111270.0,111300.0,423
SPFB.RTS-12.18,1,19/09/18,10:23,111300.0,111440.0,111280.0,111410.0,301
SPFB.RTS-12.18,1,19/09/18,10:24,111410.0,111460.0,111380.0,111400.0,342
SPFB.RTS-12.18,1,19/09/18,10:25,111390.0,111410.0,111360.0,111400.0,110
SPFB.RTS-12.18,1,19/09/18,10:26,111410.0,111410.0,111270.0,111280.0,282
SPFB.RTS-12.18,1,19/09/18,10:27,111270.0,111270.0,111160.0,111170.0,256
SPFB.RTS-12.18,1,19/09/18,10:28,111180.0,111210.0,111120.0,111210.0,255
SPFB.RTS-12.18,1,19/09/18,10:29,111210.0,111300.0,111200.0,111270.0,310
SPFB.RTS-12.18,1,19/09/18,10:30,111270.0,111310.0,111240.0,111300.0,367
SPFB.RTS-12.18,1,19/09/18,10:31,111300.0,111300.0,111250.0,111260.0,145
SPFB.RTS-12.18,1,19/09/18,10:32,111260.0,111360.0,111260.0,111350.0,183
SPFB.RTS-12.18,1,19/09/18,10:33,111360.0,111390.0,111260.0,111280.0,292
SPFB.RTS-12.18,1,19/09/18,10:34,111270.0,111290.0,111250.0,111250.0,135
SPFB.RTS-12.18,1,19/09/18,10:35,111260.0,111270.0,111220.0,111240.0,216
